"report_start_date","start_date","end_date","network_country_iso3","location","granularity","country_name","country_iso3","name","category","canonical_network_id","network_name_mapped","network_category","metric","uci","lci","passed","devices","readings"
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","HND","Honduras","countries","Honduras","HND","onxcoveragesim_overall_v1_0",,7081,"Tigo",,7.949699022737796,7.974301172227233,7.925084687934103,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","HND","Honduras","countries","Honduras","HND","onxcoveragesim_overall_v1_0",,7080,"Claro",,5.421002607657252,5.445848463431872,5.395925230911706,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","IRN","Iran","countries","Iran","IRN","onxcoveragesim_overall_v1_0",,4323,"Rightel",,2.122876256641214,2.132332925182223,2.1123685551976203,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","IRN","Iran","countries","Iran","IRN","onxcoveragesim_overall_v1_0",,4321,"TKC",,0.005990887544734588,0.0067765346394168865,0.005307716158054328,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","IRN","Iran","countries","Iran","IRN","onxcoveragesim_overall_v1_0",,4325,"Irancell",,7.293853034069232,7.307251075994934,7.280297337208141,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","IRN","Iran","countries","Iran","IRN","onxcoveragesim_overall_v1_0",,4324,"Taliya",,0.006621507286285598,0.007357230318095108,0.005990887544734588,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","IRN","Iran","countries","Iran","IRN","onxcoveragesim_overall_v1_0",,4320,"Hamrah-e-Avval",,7.664867648681742,7.678898937931253,7.650105891564936,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","MEX","Mexico","countries","Mexico","MEX","onxcoveragesim_overall_v1_0","focus-mvno",33427,"BAIT","focus-mvno",3.654224556520698,3.6613509004257105,3.646570750940827,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","MEX","Mexico","countries","Mexico","MEX","onxcoveragesim_overall_v1_0","focus-mvno",33479,"Mega Movil","focus-mvno",0.464241091134903,0.4681303416405429,0.46070348174583586,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","MEX","Mexico","countries","Mexico","MEX","onxcoveragesim_overall_v1_0","gold-focus",3341,"Telcel","gold-focus",8.776737817879829,8.785894203408176,8.767065193265449,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","MEX","Mexico","countries","Mexico","MEX","onxcoveragesim_overall_v1_0",,3342,"Movistar",,3.583921272292426,3.5911461255882506,3.5770892096055382,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","MEX","Mexico","countries","Mexico","MEX","onxcoveragesim_overall_v1_0","focus-mvno",33429,"Izzi Telecom","focus-mvno",1.017813989331059,1.0223965464353317,1.0129807944096545,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","MEX","Mexico","countries","Mexico","MEX","onxcoveragesim_overall_v1_0","focus-mvno",3346,"Unefon","focus-mvno",2.1906493389895183,2.196597311067717,2.1856153844235457,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","MEX","Mexico","countries","Mexico","MEX","onxcoveragesim_overall_v1_0",,3349,"Altan Redes",,4.291517967364712,4.299320160507959,4.28351626153121,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","MEX","Mexico","countries","Mexico","MEX","onxcoveragesim_overall_v1_0","gold-focus",3343,"AT&T","gold-focus",4.564875292099048,4.573002940318273,4.557220239564863,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","PLW","Palau","countries","Palau","PLW","onxcoveragesim_overall_v1_0",,5520,"PNCC",,8.675213675213675,8.974358974358974,8.376068376068377,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","BWA","Botswana","countries","Botswana","BWA","onxcoveragesim_overall_v1_0",,6520,"Mascom",,7.491138243402915,7.620913745569122,7.376920047262702,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","BWA","Botswana","countries","Botswana","BWA","onxcoveragesim_overall_v1_0",,6521,"Orange",,7.416305632138638,7.542339503741632,7.302087435998425,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","BWA","Botswana","countries","Botswana","BWA","onxcoveragesim_overall_v1_0",,6522,"BTC Mobile",,3.8046474990153607,3.902914533280819,3.7101220953131153,"true",,
